BKM_IL_ILCE_NEW,IL,ILCE,LAT,LON
01 - SEYHAN,Adana,SEYHAN,36.915278,35.231111
01 - YUREGIR,Adana,YUREGIR,36.88577,35.483214
06 - CANKAYA,Ankara,CANKAYA,39.798098,32.945689
06 - ETIMESGUT,Ankara,ETIMESGUT,39.867188,32.602279
06 - KECIOREN,Ankara,KECIOREN,40.086504,32.834112
06 - YENIMAHALLE,Ankara,YENIMAHALLE,40.008731,32.682443
07 - ALANYA,Antalya,ALANYA,36.535554,32.284536
07 - KEPEZ,Antalya,KEPEZ,37.024727,30.713339
07 - MURATPASA,Antalya,MURATPASA,36.887104,30.737377
07 - SERIK,Antalya,SERIK,37.102226,30.998465
16 - MUDANYA,Bursa,MUDANYA,40.325485,28.769453
16 - NILUFER,Bursa,NILUFER,40.182864,28.832399
16 - OSMANGAZI,Bursa,OSMANGAZI,40.170897,29.020629
20 - PAMUKKALE,Denizli,PAMUKKALE,37.881976,29.182904
25 - YAKUTIYE,Erzurum,YAKUTIYE,40.068751,41.271408
26 - ODUNPAZARI,Eskişehir,ODUNPAZARI,39.632173,30.573705
26 - TEPEBASI,Eskişehir,TEPEBASI,39.824908,30.568763
28 - GIRESUN MERKEZ,Giresun,GIRESUN MERKEZ,40.800634,38.372254
34 - ARNAVUTKOY,İstanbul,ARNAVUTKOY,41.248259,28.68145
34 - ATASEHIR,İstanbul,ATASEHIR,40.984492,29.145657
34 - BAHCELIEVLER,İstanbul,BAHCELIEVLER,41.009795,28.838396
34 - BAKIRKOY,İstanbul,BAKIRKOY,40.980905,28.832839
34 - BASAKSEHIR,İstanbul,BASAKSEHIR,41.103228,28.772567
34 - BAYRAMPASA,İstanbul,BAYRAMPASA,41.051452,28.898305
34 - BESIKTAS,İstanbul,BESIKTAS,41.071618,29.030538
34 - BEYLIKDUZU,İstanbul,BEYLIKDUZU,40.987951,28.64375
34 - BEYOGLU,İstanbul,BEYOGLU,41.04333,28.962669
34 - ESENYURT,İstanbul,ESENYURT,41.04892,28.658117
34 - EYUPSULTAN,İstanbul,EYUPSULTAN,41.165293,28.88316
34 - FATIH,İstanbul,FATIH,41.014462,28.954551
34 - GAZIOSMANPASA,İstanbul,GAZIOSMANPASA,41.073058,28.900558
34 - GUNGOREN,İstanbul,GUNGOREN,41.019822,28.874821
34 - KADIKOY,İstanbul,KADIKOY,40.981134,29.065075
34 - KAGITHANE,İstanbul,KAGITHANE,41.080637,28.985403
34 - KARTAL,İstanbul,KARTAL,40.915226,29.202842
34 - KUCUKCEKMECE,İstanbul,KUCUKCEKMECE,41.021033,28.776432
34 - MALTEPE,İstanbul,MALTEPE,40.944007,29.158974
34 - PENDIK,İstanbul,PENDIK,40.956376,29.354581
34 - SARIYER,İstanbul,SARIYER,41.171709,29.008363
34 - SISLI,İstanbul,SISLI,41.061914,28.984701
34 - SULTANBEYLI,İstanbul,SULTANBEYLI,40.968198,29.269814
34 - UMRANIYE,İstanbul,UMRANIYE,41.027219,29.127459
34 - USKUDAR,İstanbul,USKUDAR,41.035221,29.057334
35 - BALCOVA,İzmir,BALCOVA,38.380478,27.055728
35 - BORNOVA,İzmir,BORNOVA,38.467898,27.260805
35 - CESME,İzmir,CESME,38.317365,26.448322
35 - GAZIEMIR,İzmir,GAZIEMIR,38.321982,27.132703
35 - KARSIYAKA,İzmir,KARSIYAKA,38.503471,27.113483
35 - KONAK,İzmir,KONAK,38.421975,27.154141
38 - MELIKGAZI,Kayseri,MELIKGAZI,38.724321,35.639374
41 - BASISKELE,Kocaeli,BASISKELE,40.645922,29.951741
41 - GEBZE,Kocaeli,GEBZE,40.904615,29.515596
41 - IZMIT,Kocaeli,IZMIT,40.846129,30.080981
42 - KARATAY,Konya,KARATAY,37.957779,32.970864
42 - SELCUKLU,Konya,SELCUKLU,38.099834,32.553021
46 - ONIKI SUBAT,Kahramanmaraş,ONIKI SUBAT,37.669898,36.727172
46 - ONIKISUBAT,Kahramanmaraş,ONIKISUBAT,37.669898,36.727172
48 - BODRUM,Muğla,BODRUM,37.066816,27.48453
48 - MARMARIS,Muğla,MARMARIS,36.789322,28.191841
48 - MILAS,Muğla,MILAS,37.27455,27.80857
54 - KARASU,Sakarya,KARASU,41.050644,30.691928
55 - CANIK,Samsun,CANIK,41.174172,36.285809
55 - ILKADIM,Samsun,ILKADIM,41.230966,36.188076
59 - CORLU,Tekirdağ,CORLU,41.113756,27.750841
61 - ORTAHISAR,Trabzon,ORTAHISAR,40.897707,39.758363
